"﻿""# =========================================================================""",,,,,,,,,,,
# TARIFARIO GENERAL DE RUTAS LOGISTICAS (RESUMEN MATRICIAL) - 18/08/2026 11:07,,,,,,,,,,,
# =========================================================================,,,,,,,,,,,
MODALIDAD,ORIGEN,DESTINO,KM,LIGEROS,MEDIANO,PESADO,BUSES,LOWBOY,,,
Chofer (Rodando),LAGOS DE MORENO,CORPORATIVO FOTON CDMX,432,BUSES,28,0,1,1,1,12096,12096
Chofer (Rodando),LAGOS DE MORENO,CORPORATIVO FOTON CDMX,432,LOWBOY,80,0,1,1,1,34560,34560
Chofer (Rodando),LAGOS DE MORENO,CUERNAVACA,509,LIGEROS,18,0,1,1,1,9162,9162
Chofer (Rodando),LAGOS DE MORENO,CUERNAVACA,509,MEDIANO,20,0,1,1,1,10180,10180
Chofer (Rodando),LAGOS DE MORENO,CUERNAVACA,509,PESADO,25,0,1,1,1,12725,12725
Chofer (Rodando),LAGOS DE MORENO,CUERNAVACA,509,BUSES,28,0,1,1,1,14252,14252
Chofer (Rodando),LAGOS DE MORENO,CUERNAVACA,509,LOWBOY,80,0,1,1,1,40720,40720
Chofer (Rodando),LAGOS DE MORENO,DURANGO,502,LIGEROS,18,0,1,1,1,9036,9036
Chofer (Rodando),LAGOS DE MORENO,DURANGO,502,MEDIANO,20,0,1,1,1,10040,10040
Chofer (Rodando),LAGOS DE MORENO,DURANGO,502,PESADO,25,0,1,1,1,12550,12550
Chofer (Rodando),LAGOS DE MORENO,DURANGO,502,BUSES,28,0,1,1,1,14056,14056
Chofer (Rodando),LAGOS DE MORENO,DURANGO,502,LOWBOY,80,0,1,1,1,40160,40160
Chofer (Rodando),LAGOS DE MORENO,ECATEPEC,416,LIGEROS,18,0,1,1,1,7488,7488
Chofer (Rodando),LAGOS DE MORENO,ECATEPEC,416,MEDIANO,20,0,1,1,1,8320,8320
Chofer (Rodando),LAGOS DE MORENO,ECATEPEC,416,PESADO,25,0,1,1,1,10400,10400
Chofer (Rodando),LAGOS DE MORENO,ECATEPEC,416,BUSES,28,0,1,1,1,11648,11648
Chofer (Rodando),LAGOS DE MORENO,ECATEPEC,416,LOWBOY,80,0,1,1,1,33280,33280
Chofer (Rodando),LAGOS DE MORENO,ESCOBEDO,681,LIGEROS,18,0,1,1,1,12258,12258
Chofer (Rodando),LAGOS DE MORENO,ESCOBEDO,681,MEDIANO,20,0,1,1,1,13620,13620
Chofer (Rodando),LAGOS DE MORENO,ESCOBEDO,681,PESADO,25,0,1,1,1,17025,17025
Chofer (Rodando),LAGOS DE MORENO,ESCOBEDO,681,BUSES,28,0,1,1,1,19068,19068
Chofer (Rodando),LAGOS DE MORENO,ESCOBEDO,681,LOWBOY,80,0,1,1,1,54480,54480
Chofer (Rodando),LAGOS DE MORENO,GUANAJUATO (LEON),85,LIGEROS,18,0,1,1,1,1530,1530
Chofer (Rodando),LAGOS DE MORENO,GUANAJUATO (LEON),85,MEDIANO,20,0,1,1,1,1700,1700
Chofer (Rodando),LAGOS DE MORENO,GUANAJUATO (LEON),85,PESADO,25,0,1,1,1,2125,2125
Chofer (Rodando),LAGOS DE MORENO,GUANAJUATO (LEON),85,BUSES,28,0,1,1,1,2380,2380
Chofer (Rodando),LAGOS DE MORENO,GUANAJUATO (LEON),85,LOWBOY,80,0,1,1,1,6800,6800
Chofer (Rodando),LAGOS DE MORENO,GUERRERO (CHILPANCINGO),700,LIGEROS,18,0,1,1,1,12600,12600
Chofer (Rodando),LAGOS DE MORENO,GUERRERO (CHILPANCINGO),700,MEDIANO,20,0,1,1,1,14000,14000
Chofer (Rodando),LAGOS DE MORENO,GUERRERO (CHILPANCINGO),700,PESADO,25,0,1,1,1,17500,17500
Chofer (Rodando),LAGOS DE MORENO,GUERRERO (CHILPANCINGO),700,BUSES,28,0,1,1,1,19600,19600
Chofer (Rodando),LAGOS DE MORENO,GUERRERO (CHILPANCINGO),700,LOWBOY,80,0,1,1,1,56000,56000
Chofer (Rodando),LAGOS DE MORENO,HIDALGO (TULA),439,LIGEROS,18,0,1,1,1,7902,7902
Chofer (Rodando),LAGOS DE MORENO,HIDALGO (TULA),439,MEDIANO,20,0,1,1,1,8780,8780
Chofer (Rodando),LAGOS DE MORENO,HIDALGO (TULA),439,PESADO,25,0,1,1,1,10975,10975
Chofer (Rodando),LAGOS DE MORENO,HIDALGO (TULA),439,BUSES,28,0,1,1,1,12292,12292
Chofer (Rodando),LAGOS DE MORENO,HIDALGO (TULA),439,LOWBOY,80,0,1,1,1,35120,35120
Chofer (Rodando),LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,LIGEROS,18,0,1,1,1,3600,3600
Chofer (Rodando),LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,MEDIANO,20,0,1,1,1,4000,4000
Chofer (Rodando),LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,PESADO,25,0,1,1,1,5000,5000
Chofer (Rodando),LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,BUSES,28,0,1,1,1,5600,5600
Chofer (Rodando),LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,LOWBOY,80,0,1,1,1,16000,16000
Chofer (Rodando),LAGOS DE MORENO,LOS MOCHIS,1054,LIGEROS,18,0,1,1,1,18972,18972
Chofer (Rodando),LAGOS DE MORENO,LOS MOCHIS,1054,MEDIANO,20,0,1,1,1,21080,21080
Chofer (Rodando),LAGOS DE MORENO,LOS MOCHIS,1054,PESADO,25,0,1,1,1,26350,26350
Chofer (Rodando),LAGOS DE MORENO,LOS MOCHIS,1054,BUSES,28,0,1,1,1,29512,29512
Chofer (Rodando),LAGOS DE MORENO,LOS MOCHIS,1054,LOWBOY,80,0,1,1,1,84320,84320
Chofer (Rodando),LAGOS DE MORENO,MICHOACAN URUAPAN,350,LIGEROS,18,0,1,1,1,6300,6300
Chofer (Rodando),LAGOS DE MORENO,MICHOACAN URUAPAN,350,MEDIANO,20,0,1,1,1,7000,7000
Chofer (Rodando),LAGOS DE MORENO,MICHOACAN URUAPAN,350,PESADO,25,0,1,1,1,8750,8750
Chofer (Rodando),LAGOS DE MORENO,MICHOACAN URUAPAN,350,BUSES,28,0,1,1,1,9800,9800
Chofer (Rodando),LAGOS DE MORENO,MICHOACAN URUAPAN,350,LOWBOY,80,0,1,1,1,28000,28000
Chofer (Rodando),LAGOS DE MORENO,MONTERREY,683,LIGEROS,18,0,1,1,1,12294,12294
Chofer (Rodando),LAGOS DE MORENO,MONTERREY,683,MEDIANO,20,0,1,1,1,13660,13660
Chofer (Rodando),LAGOS DE MORENO,MONTERREY,683,PESADO,25,0,1,1,1,17075,17075
Chofer (Rodando),LAGOS DE MORENO,MONTERREY,683,BUSES,28,0,1,1,1,19124,19124
Chofer (Rodando),LAGOS DE MORENO,MONTERREY,683,LOWBOY,80,0,1,1,1,54640,54640
Chofer (Rodando),LAGOS DE MORENO,NAYARIT (TEPIC),375,LIGEROS,18,0,1,1,1,6750,6750
Chofer (Rodando),LAGOS DE MORENO,NAYARIT (TEPIC),375,MEDIANO,20,0,1,1,1,7500,7500
Chofer (Rodando),LAGOS DE MORENO,NAYARIT (TEPIC),375,PESADO,25,0,1,1,1,9375,9375
Chofer (Rodando),LAGOS DE MORENO,NAYARIT (TEPIC),375,BUSES,28,0,1,1,1,10500,10500
Chofer (Rodando),LAGOS DE MORENO,NAYARIT (TEPIC),375,LOWBOY,80,0,1,1,1,30000,30000
Chofer (Rodando),LAGOS DE MORENO,OAXACA,880,LIGEROS,18,0,1,1,1,15840,15840
Chofer (Rodando),LAGOS DE MORENO,OAXACA,880,MEDIANO,20,0,1,1,1,17600,17600
Chofer (Rodando),LAGOS DE MORENO,OAXACA,880,PESADO,25,0,1,1,1,22000,22000
Chofer (Rodando),LAGOS DE MORENO,OAXACA,880,BUSES,28,0,1,1,1,24640,24640
Chofer (Rodando),LAGOS DE MORENO,OAXACA,880,LOWBOY,80,0,1,1,1,70400,70400
Chofer (Rodando),LAGOS DE MORENO,PLANTA 2 JALISCO,19,LIGEROS,18,0,1,1,1,342,342
Chofer (Rodando),LAGOS DE MORENO,PLANTA 2 JALISCO,19,MEDIANO,20,0,1,1,1,380,380
Chofer (Rodando),LAGOS DE MORENO,PLANTA 2 JALISCO,19,PESADO,25,0,1,1,1,475,475
Chofer (Rodando),LAGOS DE MORENO,PLANTA 2 JALISCO,19,BUSES,28,0,1,1,1,532,532
Chofer (Rodando),LAGOS DE MORENO,PLANTA 2 JALISCO,19,LOWBOY,80,0,1,1,1,1520,1520
Chofer (Rodando),LAGOS DE MORENO,PLANTA 3 TLAJOMULCO,228,LIGEROS,18,0,1,1,1,4104,4104
Chofer (Rodando),LAGOS DE MORENO,PLANTA 3 TLAJOMULCO,228,MEDIANO,20,0,1,1,1,4560,4560
Chofer (Rodando),LAGOS DE MORENO,PLANTA 3 TLAJOMULCO,228,PESADO,25,0,1,1,1,5700,5700
Chofer (Rodando),LAGOS DE MORENO,PLANTA 3 TLAJOMULCO,228,BUSES,28,0,1,1,1,6384,6384
Chofer (Rodando),LAGOS DE MORENO,PLANTA 3 TLAJOMULCO,228,LOWBOY,80,0,1,1,1,18240,18240
Chofer (Rodando),LAGOS DE MORENO,PUEBLA (ASTURCAR),544,LIGEROS,18,0,1,1,1,9792,9792
Chofer (Rodando),LAGOS DE MORENO,PUEBLA (ASTURCAR),544,MEDIANO,20,0,1,1,1,10880,10880
Chofer (Rodando),LAGOS DE MORENO,PUEBLA (ASTURCAR),544,PESADO,25,0,1,1,1,13600,13600
Chofer (Rodando),LAGOS DE MORENO,PUEBLA (ASTURCAR),544,BUSES,28,0,1,1,1,15232,15232
